City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,63.01,66,20,11.01,US,1697121820
1,waitangi,-43.9535,-176.5597,46.81,81,99,1.99,NZ,1697122096
2,stanley,54.868,-1.6985,56.52,61,20,9.22,GB,1697122096
3,la passe,45.5549,-0.8967,84.43,41,87,4.45,FR,1697122096
4,invercargill,-46.4,168.35,53.02,78,100,11.01,NZ,1697122064
5,edinburgh of the seven seas,-37.0676,-12.3116,55.35,74,9,11.21,SH,1697122097
6,polyarnyy,69.1989,33.4478,36.5,97,100,28.77,RU,1697121818
7,thompson,55.7435,-97.8558,41.16,100,100,0.0,CA,1697121932
8,grytviken,-54.2811,-36.5092,28.44,89,97,3.22,GS,1697122097
9,san patricio,28.017,-97.5169,81.86,76,71,6.98,US,1697122098
10,nambucca heads,-30.65,153.0,66.2,69,1,7.76,AU,1697122098
11,hadgaon,19.5,77.6667,77.29,56,0,5.5,IN,1697122098
12,wailua homesteads,22.0669,-159.378,74.19,86,20,12.66,US,1697122099
13,avarua,-21.2078,-159.775,69.85,94,100,3.44,CK,1697122099
14,pagar alam,-4.0167,103.2667,73.54,73,79,2.08,ID,1697122099
15,kota,25.1833,75.8333,84.94,30,0,1.61,IN,1697122099
16,guaratinga,-16.5667,-39.5667,91.96,30,5,6.98,BR,1697122099
17,puerto natales,-51.7236,-72.4875,52.25,54,75,8.05,CL,1697121975
18,adamstown,-25.066,-130.1015,68.65,70,94,11.32,PN,1697122100
19,west island,-12.1568,96.8225,78.78,78,100,17.27,CC,1697122100
20,georgetown,5.4112,100.3354,82.02,93,40,6.91,MY,1697121935
21,banda aceh,5.5577,95.3222,80.08,82,50,8.21,ID,1697122100
22,huambo,-12.7761,15.7392,77.34,37,96,1.36,AO,1697122101
23,kodiak,57.79,-152.4072,35.11,64,100,4.61,US,1697121805
24,ushuaia,-54.8,-68.3,46.02,77,40,32.21,AR,1697122101
25,poyarkovo,49.6,128.6833,50.77,58,6,9.1,RU,1697122102
26,longyearbyen,78.2186,15.6401,22.84,68,75,10.36,SJ,1697122102
27,nantucket,41.2835,-70.0995,68.05,76,75,6.91,US,1697122102
28,margaret river,-33.95,115.0667,54.7,87,0,12.86,AU,1697122102
29,saint-pierre,-21.3393,55.4781,76.68,69,100,2.3,RE,1697121803
30,hermanus,-34.4187,19.2345,60.35,85,37,13.96,ZA,1697122102
31,robertsport,6.7533,-11.3686,80.49,81,72,8.39,LR,1697122103
32,tanjungtiram,4.0613,98.3699,78.26,88,24,2.57,ID,1697122103
33,iqaluit,63.7506,-68.5145,29.93,92,75,6.91,CA,1697121806
34,port mathurin,-19.6833,63.4167,74.64,74,16,9.89,MU,1697121813
35,praya,14.9215,-23.5087,90.14,55,40,16.11,CV,1697122104
36,college,64.8569,-147.8028,24.75,83,100,3.44,US,1697122104
37,bembereke,10.2283,2.6634,90.21,45,56,4.7,BJ,1697122104
38,aripuana,-9.1667,-60.6333,102.02,29,52,3.4,BR,1697122104
39,tsiombe,-25.3,45.4833,71.58,74,37,15.64,MG,1697122104
40,el abadia,36.2695,1.6861,90.93,18,0,4.94,DZ,1697122105
41,papatowai,-46.5619,169.4708,50.61,75,98,7.23,NZ,1697122105
42,queenstown,-31.8976,26.8753,53.26,79,97,4.85,ZA,1697122105
43,nouadhibou,20.931,-17.0347,102.18,10,0,6.91,MR,1697122105
44,porto torres,40.835,8.3972,82.58,50,0,3.58,IT,1697122106
45,kerikeri,-35.2268,173.9474,46.9,90,10,4.03,NZ,1697122106
46,yerofey pavlovich,53.9667,121.9667,46.62,60,29,8.19,RU,1697122106
47,broken hill,-31.95,141.4333,53.51,56,0,17.38,AU,1697122106
48,weno,7.4515,151.8468,83.82,77,88,8.97,FM,1697122106
49,shingu,33.7333,135.9833,59.14,80,24,6.49,JP,1697122049
50,general conesa,-40.1,-64.4333,66.81,16,0,13.49,AR,1697122107
51,kingscliff,-28.2667,153.5667,69.6,73,0,17.27,AU,1697122107
52,awjilah,29.1081,21.2869,85.21,27,16,10.0,LY,1697122107
53,port-aux-francais,-49.35,70.2167,34.5,88,100,26.26,TF,1697122107
54,canete,-37.8,-73.4,56.93,47,0,9.93,CL,1697122107
55,bredasdorp,-34.5322,20.0403,62.92,77,1,17.81,ZA,1697122108
56,talnakh,69.4865,88.3972,31.21,91,100,3.15,RU,1697122108
57,mount gambier,-37.8333,140.7667,52.59,75,98,10.18,AU,1697122108
58,albany,42.6001,-73.9662,60.8,67,22,1.01,US,1697121948
59,salalah,17.0151,54.0924,84.29,70,0,8.05,OM,1697122108
60,blackmans bay,-43.0167,147.3167,50.13,75,98,6.62,AU,1697122109
61,bethel,41.3712,-73.414,65.55,68,0,3.44,US,1697121942
62,gamay,12.3854,125.2979,78.75,86,88,1.34,PH,1697122109
63,labasa,-16.4167,179.3833,72.52,90,100,7.16,FJ,1697122109
64,prado,-17.3411,-39.2208,81.77,59,19,12.48,BR,1697122025
65,inarajan village,13.2736,144.7484,83.39,91,99,22.19,GU,1697122109
66,disa,24.25,72.1667,82.29,53,0,5.5,IN,1697122110
67,haiku-pauwela,20.9219,-156.3051,75.04,74,20,10.36,US,1697122110
68,mendi,-6.1761,143.6513,55.71,99,100,2.19,PG,1697122110
69,kruisfontein,-34.0033,24.7314,62.22,79,100,22.17,ZA,1697122111
70,moyale,3.5167,39.0584,78.78,53,98,5.84,KE,1697122111
71,williston,48.147,-103.618,44.82,86,97,1.01,US,1697121603
72,holualoa,19.6228,-155.9522,73.24,74,0,16.11,US,1697122111
73,karakoyunlu,39.8704,43.6301,53.4,49,3,4.12,TR,1697122112
74,vilyuchinsk,52.9306,158.4028,38.93,73,76,12.41,RU,1697122112
75,castillos,-34.1667,-53.8333,53.55,47,4,11.54,UY,1697122112
76,hasaki,35.7333,140.8333,61.29,53,2,10.78,JP,1697121952
77,chibougamau,49.9168,-74.3659,46.02,93,100,2.3,CA,1697122112
78,ancud,-41.8697,-73.8203,49.78,59,9,3.65,CL,1697122112
79,chonchi,-42.6128,-73.8092,54.12,60,94,4.36,CL,1697122113
80,tiaret,35.371,1.317,81.84,9,20,6.91,DZ,1697122113
81,kiunga,-6.1219,141.2906,73.69,100,100,2.1,PG,1697122113
82,howard springs,-12.497,131.047,80.51,69,13,3.02,AU,1697122114
83,port elizabeth,-33.918,25.5701,70.09,68,0,19.57,ZA,1697122114
84,tromso,69.6496,18.957,37.42,56,40,0.0,NO,1697122002
85,tarko-sale,64.9225,77.785,35.01,83,100,5.01,RU,1697122114
86,hawaiian paradise park,19.5933,-154.9731,72.03,79,0,6.91,US,1697122114
87,arraial do cabo,-22.9661,-42.0278,87.76,58,0,18.41,BR,1697122115
88,cidade velha,14.9167,-23.6167,90.07,55,40,16.11,CV,1697122115
89,tayshet,55.9342,98.0044,43.99,62,100,3.09,RU,1697122115
90,east ballina,-28.8667,153.5833,66.79,80,0,20.11,AU,1697122115
91,klyuchi,52.2667,79.1667,43.66,84,100,5.1,RU,1697122115
92,jamestown,42.097,-79.2353,55.54,87,20,4.61,US,1697121594
93,yuzhno-kurilsk,44.0306,145.8556,55.38,70,23,5.59,RU,1697122116
94,kharp,66.8014,65.8081,30.65,90,89,6.31,RU,1697122116
95,bilibino,68.0546,166.4372,19.96,92,100,5.77,RU,1697122117
96,upata,8.0086,-62.3989,92.91,41,7,5.68,VE,1697122117
97,tiksi,71.6872,128.8694,22.46,89,100,11.1,RU,1697122117
98,aykhal,66.0,111.5,24.06,78,87,11.01,RU,1697122117
99,gadzhiyevo,69.2551,33.3362,36.39,97,100,29.68,RU,1697122117
